"ResponseId","sex","age","attention_check","lab","modality","incentive","orientation","info","prq_g_1","prq_g_2","prq_o_1","prq_o_2","prq_a_1","prq_a_2","prq_p_1","prq_p_2","prq_n_1","prq_n_2","prq_w_1","prq_w_2","trial","value","info.pres","just"
"R_49MWtTIWnirPIC5",2,21,4,"MYS_01","online","volunteer","left.c","conform",3,4,3,1,1,3,1,1,1,1,1,4,"stim_lef_lar_mkn",2,"no","left"
"R_49MWtTIWnirPIC5",2,21,4,"MYS_01","online","volunteer","left.c","conform",3,4,3,1,1,3,1,1,1,1,1,4,"stim_rig_lar_mky",3,"yes","right"
"R_49MWtTIWnirPIC5",2,21,4,"MYS_01","online","volunteer","left.c","conform",3,4,3,1,1,3,1,1,1,1,1,4,"stim_rig_sma_mky",3,"yes","right"
"R_4jkYolrs58EoZY5",1,22,4,"MYS_01","online","volunteer","left.c","demand",9,7,5,4,8,6,8,8,7,2,5,9,"stim_lef_sma_mkn",3,"no","left"
"R_4jkYolrs58EoZY5",1,22,4,"MYS_01","online","volunteer","left.c","demand",9,7,5,4,8,6,8,8,7,2,5,9,"stim_lef_lar_mkn",3,"no","left"
"R_4jkYolrs58EoZY5",1,22,4,"MYS_01","online","volunteer","left.c","demand",9,7,5,4,8,6,8,8,7,2,5,9,"stim_rig_lar_mky",2,"yes","right"
"R_4jkYolrs58EoZY5",1,22,4,"MYS_01","online","volunteer","left.c","demand",9,7,5,4,8,6,8,8,7,2,5,9,"stim_rig_sma_mky",2,"yes","right"
"R_3kOcCGNteDxuk8i",1,20,4,"TUR_01","online","credit","left.c","conform",10,7,6,7,10,1,10,1,9,9,1,10,"stim_lef_sma_mkn",4,"no","left"
"R_3kOcCGNteDxuk8i",1,20,4,"TUR_01","online","credit","left.c","conform",10,7,6,7,10,1,10,1,9,9,1,10,"stim_lef_lar_mkn",3,"no","left"
"R_3kOcCGNteDxuk8i",1,20,4,"TUR_01","online","credit","left.c","conform",10,7,6,7,10,1,10,1,9,9,1,10,"stim_rig_lar_mky",2,"yes","right"
"R_3kOcCGNteDxuk8i",1,20,4,"TUR_01","online","credit","left.c","conform",10,7,6,7,10,1,10,1,9,9,1,10,"stim_rig_sma_mky",4,"yes","right"
"R_2Eh9payeiDX48nY",1,49,5,"DNK_01","online","paid","left.c","demand",4,2,8,8,6,7,8,5,3,4,8,9,"stim_lef_sma_mkn",3,"no","left"
"R_2Eh9payeiDX48nY",1,49,5,"DNK_01","online","paid","left.c","demand",4,2,8,8,6,7,8,5,3,4,8,9,"stim_lef_lar_mkn",3,"no","left"
"R_2Eh9payeiDX48nY",1,49,5,"DNK_01","online","paid","left.c","demand",4,2,8,8,6,7,8,5,3,4,8,9,"stim_rig_lar_mky",4,"yes","right"
"R_2Eh9payeiDX48nY",1,49,5,"DNK_01","online","paid","left.c","demand",4,2,8,8,6,7,8,5,3,4,8,9,"stim_rig_sma_mky",5,"yes","right"
"R_4zLMPi5bYw508sk",2,23,5,"TUR_01","online","credit","left.c","demand",10,9,5,8,8,7,9,8,3,1,7,8,"stim_lef_sma_mkn",4,"no","left"
"R_4zLMPi5bYw508sk",2,23,5,"TUR_01","online","credit","left.c","demand",10,9,5,8,8,7,9,8,3,1,7,8,"stim_lef_lar_mkn",6,"no","left"
"R_4zLMPi5bYw508sk",2,23,5,"TUR_01","online","credit","left.c","demand",10,9,5,8,8,7,9,8,3,1,7,8,"stim_rig_lar_mky",5,"yes","right"
"R_4zLMPi5bYw508sk",2,23,5,"TUR_01","online","credit","left.c","demand",10,9,5,8,8,7,9,8,3,1,7,8,"stim_rig_sma_mky",6,"yes","right"
"R_4nTdvcLIBjoHq0h",1,21,4,"TUR_01","online","credit","left.c","conform",7,8,8,4,3,5,2,3,2,1,3,1,"stim_lef_sma_mkn",3,"no","left"
"R_4nTdvcLIBjoHq0h",1,21,4,"TUR_01","online","credit","left.c","conform",7,8,8,4,3,5,2,3,2,1,3,1,"stim_lef_lar_mkn",3,"no","left"
"R_4nTdvcLIBjoHq0h",1,21,4,"TUR_01","online","credit","left.c","conform",7,8,8,4,3,5,2,3,2,1,3,1,"stim_rig_lar_mky",2,"yes","right"
"R_4nTdvcLIBjoHq0h",1,21,4,"TUR_01","online","credit","left.c","conform",7,8,8,4,3,5,2,3,2,1,3,1,"stim_rig_sma_mky",2,"yes","right"
"R_3aeMWEy0hox1pWR",2,33,5,"DNK_01","online","paid","left.c","conform",6,4,7,5,8,4,5,7,8,7,6,4,"stim_lef_sma_mkn",2,"no","left"
"R_3aeMWEy0hox1pWR",2,33,5,"DNK_01","online","paid","left.c","conform",6,4,7,5,8,4,5,7,8,7,6,4,"stim_lef_lar_mkn",2,"no","left"
"R_3aeMWEy0hox1pWR",2,33,5,"DNK_01","online","paid","left.c","conform",6,4,7,5,8,4,5,7,8,7,6,4,"stim_rig_lar_mky",2,"yes","right"
"R_3aeMWEy0hox1pWR",2,33,5,"DNK_01","online","paid","left.c","conform",6,4,7,5,8,4,5,7,8,7,6,4,"stim_rig_sma_mky",3,"yes","right"
"R_2VCoop0BZtDAsWG",1,60,3,"DNK_01","online","paid","left.c","conform",5,5,3,3,6,7,1,1,3,5,3,4,"stim_lef_sma_mkn",4,"no","left"
"R_2VCoop0BZtDAsWG",1,60,3,"DNK_01","online","paid","left.c","conform",5,5,3,3,6,7,1,1,3,5,3,4,"stim_lef_lar_mkn",4,"no","left"
"R_2VCoop0BZtDAsWG",1,60,3,"DNK_01","online","paid","left.c","conform",5,5,3,3,6,7,1,1,3,5,3,4,"stim_rig_lar_mky",3,"yes","right"
"R_2VCoop0BZtDAsWG",1,60,3,"DNK_01","online","paid","left.c","conform",5,5,3,3,6,7,1,1,3,5,3,4,"stim_rig_sma_mky",3,"yes","right"
"R_80cLeYN2LIXF6wH",2,21,4,"TUR_01","online","credit","left.c","conform",8,8,9,6,2,3,4,3,2,2,6,5,"stim_lef_sma_mkn",3,"no","left"
"R_80cLeYN2LIXF6wH",2,21,4,"TUR_01","online","credit","left.c","conform",8,8,9,6,2,3,4,3,2,2,6,5,"stim_lef_lar_mkn",2,"no","left"
"R_80cLeYN2LIXF6wH",2,21,4,"TUR_01","online","credit","left.c","conform",8,8,9,6,2,3,4,3,2,2,6,5,"stim_rig_lar_mky",2,"yes","right"
"R_80cLeYN2LIXF6wH",2,21,4,"TUR_01","online","credit","left.c","conform",8,8,9,6,2,3,4,3,2,2,6,5,"stim_rig_sma_mky",1,"yes","right"
"R_210X5b0wi2sDe3q",2,48,5,"DNK_01","online","paid","left.c","demand",2,3,2,2,5,8,3,3,6,2,4,4,"stim_lef_sma_mkn",5,"no","left"
"R_210X5b0wi2sDe3q",2,48,5,"DNK_01","online","paid","left.c","demand",2,3,2,2,5,8,3,3,6,2,4,4,"stim_lef_lar_mkn",3,"no","left"
"R_210X5b0wi2sDe3q",2,48,5,"DNK_01","online","paid","left.c","demand",2,3,2,2,5,8,3,3,6,2,4,4,"stim_rig_lar_mky",3,"yes","right"
"R_210X5b0wi2sDe3q",2,48,5,"DNK_01","online","paid","left.c","demand",2,3,2,2,5,8,3,3,6,2,4,4,"stim_rig_sma_mky",4,"yes","right"
"R_2ISWuShw7u7T8zL",2,20,4,"TUR_01","online","credit","left.c","conform",1,2,2,10,1,2,2,2,2,3,8,10,"stim_lef_sma_mkn",2,"no","left"
"R_2ISWuShw7u7T8zL",2,20,4,"TUR_01","online","credit","left.c","conform",1,2,2,10,1,2,2,2,2,3,8,10,"stim_lef_lar_mkn",2,"no","left"
"R_2ISWuShw7u7T8zL",2,20,4,"TUR_01","online","credit","left.c","conform",1,2,2,10,1,2,2,2,2,3,8,10,"stim_rig_lar_mky",2,"yes","right"
"R_2ISWuShw7u7T8zL",2,20,4,"TUR_01","online","credit","left.c","conform",1,2,2,10,1,2,2,2,2,3,8,10,"stim_rig_sma_mky",1,"yes","right"
"R_7JhgqDfJhFZcSWX",2,43,5,"DNK_01","online","paid","left.c","demand",1,1,1,1,1,1,1,1,1,1,1,1,"stim_lef_sma_mkn",3,"no","left"
"R_7JhgqDfJhFZcSWX",2,43,5,"DNK_01","online","paid","left.c","demand",1,1,1,1,1,1,1,1,1,1,1,1,"stim_lef_lar_mkn",2,"no","left"
"R_7JhgqDfJhFZcSWX",2,43,5,"DNK_01","online","paid","left.c","demand",1,1,1,1,1,1,1,1,1,1,1,1,"stim_rig_lar_mky",2,"yes","right"
"R_7JhgqDfJhFZcSWX",2,43,5,"DNK_01","online","paid","left.c","demand",1,1,1,1,1,1,1,1,1,1,1,1,"stim_rig_sma_mky",1,"yes","right"
"R_6kcA1r5RI1Mll3v",2,27,3,"POL_01","online","paid","left.c","conform",2,3,6,8,7,2,5,10,1,3,9,4,"stim_lef_sma_mkn",2,"no","left"
"R_6kcA1r5RI1Mll3v",2,27,3,"POL_01","online","paid","left.c","conform",2,3,6,8,7,2,5,10,1,3,9,4,"stim_lef_lar_mkn",3,"no","left"
"R_6kcA1r5RI1Mll3v",2,27,3,"POL_01","online","paid","left.c","conform",2,3,6,8,7,2,5,10,1,3,9,4,"stim_rig_lar_mky",3,"yes","right"
"R_6kcA1r5RI1Mll3v",2,27,3,"POL_01","online","paid","left.c","conform",2,3,6,8,7,2,5,10,1,3,9,4,"stim_rig_sma_mky",3,"yes","right"
"R_42RmjTHZeK3MlSF",1,80,4,"POL_01","online","paid","left.c","demand",8,7,5,8,7,8,6,8,7,3,8,8,"stim_lef_sma_mkn",2,"no","left"
"R_42RmjTHZeK3MlSF",1,80,4,"POL_01","online","paid","left.c","demand",8,7,5,8,7,8,6,8,7,3,8,8,"stim_lef_lar_mkn",2,"no","left"
"R_42RmjTHZeK3MlSF",1,80,4,"POL_01","online","paid","left.c","demand",8,7,5,8,7,8,6,8,7,3,8,8,"stim_rig_lar_mky",1,"yes","right"
"R_42RmjTHZeK3MlSF",1,80,4,"POL_01","online","paid","left.c","demand",8,7,5,8,7,8,6,8,7,3,8,8,"stim_rig_sma_mky",2,"yes","right"
"R_2h5r6V7Lqao4nOj",1,56,4,"POL_01","online","paid","left.c","conform",5,4,9,6,6,5,9,3,2,3,7,3,"stim_lef_sma_mkn",2,"no","left"
"R_2h5r6V7Lqao4nOj",1,56,4,"POL_01","online","paid","left.c","conform",5,4,9,6,6,5,9,3,2,3,7,3,"stim_lef_lar_mkn",3,"no","left"
"R_2h5r6V7Lqao4nOj",1,56,4,"POL_01","online","paid","left.c","conform",5,4,9,6,6,5,9,3,2,3,7,3,"stim_rig_lar_mky",2,"yes","right"
"R_2h5r6V7Lqao4nOj",1,56,4,"POL_01","online","paid","left.c","conform",5,4,9,6,6,5,9,3,2,3,7,3,"stim_rig_sma_mky",1,"yes","right"
"R_3TNMeZYMJ9ASSfu",1,43,3,"POL_01","online","paid","left.c","conform",6,4,9,8,7,2,7,8,2,3,2,8,"stim_lef_sma_mkn",6,"no","left"
"R_3TNMeZYMJ9ASSfu",1,43,3,"POL_01","online","paid","left.c","conform",6,4,9,8,7,2,7,8,2,3,2,8,"stim_lef_lar_mkn",6,"no","left"
"R_3TNMeZYMJ9ASSfu",1,43,3,"POL_01","online","paid","left.c","conform",6,4,9,8,7,2,7,8,2,3,2,8,"stim_rig_lar_mky",4,"yes","right"
"R_3TNMeZYMJ9ASSfu",1,43,3,"POL_01","online","paid","left.c","conform",6,4,9,8,7,2,7,8,2,3,2,8,"stim_rig_sma_mky",4,"yes","right"
"R_7gaBReYEWzBPvWx",2,76,4,"POL_01","online","paid","left.c","demand",9,10,8,10,9,8,10,8,2,2,10,10,"stim_lef_sma_mkn",5,"no","left"
"R_7gaBReYEWzBPvWx",2,76,4,"POL_01","online","paid","left.c","demand",9,10,8,10,9,8,10,8,2,2,10,10,"stim_lef_lar_mkn",6,"no","left"
"R_7gaBReYEWzBPvWx",2,76,4,"POL_01","online","paid","left.c","demand",9,10,8,10,9,8,10,8,2,2,10,10,"stim_rig_lar_mky",1,"yes","right"
"R_7gaBReYEWzBPvWx",2,76,4,"POL_01","online","paid","left.c","demand",9,10,8,10,9,8,10,8,2,2,10,10,"stim_rig_sma_mky",2,"yes","right"
"R_6EnK4ihCbmbfPHj",1,64,5,"POL_01","online","paid","left.c","demand",3,3,2,2,5,3,3,3,3,2,3,9,"stim_lef_sma_mkn",4,"no","left"
"R_6EnK4ihCbmbfPHj",1,64,5,"POL_01","online","paid","left.c","demand",3,3,2,2,5,3,3,3,3,2,3,9,"stim_lef_lar_mkn",3,"no","left"
"R_6EnK4ihCbmbfPHj",1,64,5,"POL_01","online","paid","left.c","demand",3,3,2,2,5,3,3,3,3,2,3,9,"stim_rig_lar_mky",3,"yes","right"
"R_6EnK4ihCbmbfPHj",1,64,5,"POL_01","online","paid","left.c","demand",3,3,2,2,5,3,3,3,3,2,3,9,"stim_rig_sma_mky",4,"yes","right"
"R_6mE4C2TJaWYONL0",1,44,5,"POL_01","online","paid","left.c","conform",5,6,6,1,6,6,6,6,6,6,6,6,"stim_lef_sma_mkn",2,"no","left"
"R_6mE4C2TJaWYONL0",1,44,5,"POL_01","online","paid","left.c","conform",5,6,6,1,6,6,6,6,6,6,6,6,"stim_lef_lar_mkn",3,"no","left"
