"es.id","study.id","ma.id","ma.doi","topic","additional_topic","g","d","sign.dir","N","n1","n2","es.type","comments","Year","Status","Experiment"
"6105",NA,"2224d","10.1023/A:1025639609402","Gender differences",NA,"NA","0.28000000000000003","pos","96","48","48","d","NA","1979","P","N"
"6106",NA,"2224d","10.1023/A:1025639609402","Gender differences",NA,"NA","0.36","pos","222","98","124","d","NA","1991","U","N"
"6107",NA,"2224d","10.1023/A:1025639609402","Gender differences",NA,"NA","0.62","pos","320","166","154","d","NA","1984","P","N"
"6108",NA,"2224d","10.1023/A:1025639609402","Gender differences",NA,"NA","0.56999999999999995","pos","181","105","76","d","NA","1985","U","N"
"6109",NA,"2224d","10.1023/A:1025639609402","Gender differences",NA,"NA","0.26","pos","60","35","25","d","NA","1987","P","N"
"6110",NA,"2224d","10.1023/A:1025639609402","Gender differences",NA,"NA","0.5","pos","176","81","95","d","NA","1989","U","N"
"6111",NA,"2224d","10.1023/A:1025639609402","Gender differences",NA,"NA","0.86","pos","180","120","60","d","NA","1981","P","N"
"6112",NA,"2224d","10.1023/A:1025639609402","Gender differences",NA,"NA","0.13","pos","106","58","48","d","NA","1985","P","N"
"6113",NA,"2224d","10.1023/A:1025639609402","Gender differences",NA,"NA","0.74","neg","80","41","39","d","NA","1985","U","N"
"6114",NA,"2224d","10.1023/A:1025639609402","Gender differences",NA,"NA","0.24","pos","256","128","128","d","NA","1975","P","N"
"6115",NA,"2224d","10.1023/A:1025639609402","Gender differences",NA,"NA","0.31","pos","100","50","50","d","NA","1975","P","N"
"6116",NA,"2224d","10.1023/A:1025639609402","Gender differences",NA,"NA","0.25","pos","100","50","50","d","NA","1975","P","N"
"6117",NA,"2224d","10.1023/A:1025639609402","Gender differences",NA,"NA","0.49","pos","100","50","50","d","NA","1975","P","N"
"6118",NA,"2224d","10.1023/A:1025639609402","Gender differences",NA,"NA","0.1","pos","120","60","60","d","NA","1973","P","N"
"6119",NA,"2224d","10.1023/A:1025639609402","Gender differences",NA,"NA","0.1","pos","120","60","60","d","NA","1973","P","N"
"6120",NA,"2224d","10.1023/A:1025639609402","Gender differences",NA,"NA","0.23","pos","100","50","50","d","NA","1970","P","N"
"6121",NA,"2224d","10.1023/A:1025639609402","Gender differences",NA,"NA","0.6","pos","200","100","100","d","NA","1974","P","N"
"3597","12256","2201g","10.1177/0146167219900418","Prosocial Behaviors Altruism","Methods","0.58266538000000001","NA","pos","75",NA,NA,"g","NA","NA","U","Y"
"3598","12257","2201g","10.1177/0146167219900418","Prosocial Behaviors Altruism","Methods","0.58266538000000001","NA","pos","75",NA,NA,"g","NA","NA","U","Y"
"3599","12258","2201g","10.1177/0146167219900418","Prosocial Behaviors Altruism","Methods","0.76782936999999996","NA","pos","83",NA,NA,"g","NA","2018","P","Y"
"3600","12259","2201g","10.1177/0146167219900418","Prosocial Behaviors Altruism","Methods","0.76782936999999996","NA","pos","83",NA,NA,"g","NA","2018","P","Y"
"3601","12260","2201g","10.1177/0146167219900418","Prosocial Behaviors Altruism","Methods","0.54619658000000004","NA","pos","146",NA,NA,"g","NA","2018","P","Y"
"3602","12261","2201g","10.1177/0146167219900418","Prosocial Behaviors Altruism","Methods","0.44874638","NA","pos","146",NA,NA,"g","NA","2018","P","Y"
"3603","12262","2201g","10.1177/0146167219900418","Prosocial Behaviors Altruism","Methods","0.59259145000000002","NA","pos","146",NA,NA,"g","NA","2018","P","Y"
"3604","12263","2201g","10.1177/0146167219900418","Prosocial Behaviors Altruism","Methods","0.54384052000000005","NA","pos","131",NA,NA,"g","NA","2018","P","Y"
"3605","12264","2201g","10.1177/0146167219900418","Prosocial Behaviors Altruism","Methods","0.59907052999999999","NA","pos","131",NA,NA,"g","NA","2018","P","Y"
"3606","12265","2201g","10.1177/0146167219900418","Prosocial Behaviors Altruism","Methods","0.44110375000000002","NA","pos","131",NA,NA,"g","NA","2018","P","Y"
"3607","12266","2201g","10.1177/0146167219900418","Prosocial Behaviors Altruism","Methods","0.46833053000000002","NA","pos","124",NA,NA,"g","NA","NA","U","Y"
"3608","12267","2201g","10.1177/0146167219900418","Prosocial Behaviors Altruism","Methods","0.70544233000000001","NA","pos","124",NA,NA,"g","NA","NA","U","Y"
"3609","12268","2201g","10.1177/0146167219900418","Prosocial Behaviors Altruism","Methods","0.19266253999999999","NA","pos","124",NA,NA,"g","NA","NA","U","Y"
"3610","12269","2201g","10.1177/0146167219900418","Prosocial Behaviors Altruism","Methods","0.57274705000000004","NA","pos","132",NA,NA,"g","NA","NA","U","Y"
"3611","12270","2201g","10.1177/0146167219900418","Prosocial Behaviors Altruism","Methods","0.56647396999999999","NA","pos","132",NA,NA,"g","NA","NA","U","Y"
"3612","12271","2201g","10.1177/0146167219900418","Prosocial Behaviors Altruism","Methods","0.56359484999999998","NA","pos","132",NA,NA,"g","NA","NA","U","Y"
"3613","12272","2201g","10.1177/0146167219900418","Prosocial Behaviors Altruism","Methods","0.48450883","NA","pos","75",NA,NA,"g","NA","NA","U","Y"
"3614","12273","2201g","10.1177/0146167219900418","Prosocial Behaviors Altruism","Methods","0.48450883","NA","pos","75",NA,NA,"g","NA","NA","U","Y"
"3615","12274","2201g","10.1177/0146167219900418","Prosocial Behaviors Altruism","Methods","0.13886219999999999","NA","neg","414",NA,NA,"g","NA","2018","P","Y"
"3616","12275","2201g","10.1177/0146167219900418","Prosocial Behaviors Altruism","Methods","0.13886219999999999","NA","neg","414",NA,NA,"g","NA","2018","P","Y"
